customer,state,response,coverage,education,employment_status,location_code,policy,renew_offer_type,sales_channel,vehicle_class
UT61518,California,Yes,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
PU75847,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
XA47378,California,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Direct,Normal Car
NE22677,California,No,Extended,Bachelor or College,Unemployed,Suburban,Special,Offer 1-2,Indirect,Medium-Class Car
HV62406,Oregon,No,Basic,High School or Below,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
VS20668,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
YZ79232,Oregon,No,Basic,Doctor or Master,Unemployed,Urban,Personal,Offer 1-2,Indirect,Normal Car
ND87457,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TY59231,California,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
DA54619,Oregon,Yes,Premium,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
OL27257,Nevada,No,Premium,Bachelor or College,Other status,Urban,Personal,Offer 1-2,Direct,Normal Car
TH86528,Washington,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
DS34823,Arizona,Yes,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
HB24005,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
ZV96574,California,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
JC80093,Washington,No,Basic,Doctor or Master,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
KN24990,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Luxury Car
RR39751,California,No,Extended,Bachelor or College,Unemployed,Urban,Personal,Offer 1-2,Direct,Normal Car
BN80677,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
WL74893,Oregon,No,Basic,Bachelor or College,Unemployed,Urban,Special,Offer 3-4,Direct,Normal Car
ZN59196,Oregon,No,Premium,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
PF77449,Washington,No,Extended,High School or Below,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
HO38996,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Special,Offer 3-4,Indirect,Normal Car
YU86361,Washington,Yes,Extended,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Direct,Luxury Car
PJ13204,California,No,Extended,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
SP63623,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
DP33625,Arizona,Yes,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Medium-Class Car
BJ18904,Arizona,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
TR26615,Oregon,No,Basic,High School or Below,Unemployed,Urban,Corporate,Offer 1-2,Direct,Normal Car
ZD44648,Arizona,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Medium-Class Car
QW60568,California,No,Premium,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Indirect,Normal Car
XS78545,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
EU19773,Arizona,No,Premium,High School or Below,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
ZL45417,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
JS58659,Nevada,No,Basic,Bachelor or College,Employed,Urban,Special,Offer 3-4,Direct,Normal Car
XK84089,California,Yes,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
LH91968,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Medium-Class Car
NX63627,Oregon,No,Extended,Doctor or Master,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
ND62955,Nevada,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
YQ11786,Oregon,No,Basic,High School or Below,Employed,Urban,Personal,Offer 3-4,Indirect,Luxury Car
TM13955,Washington,No,Extended,Doctor or Master,Unemployed,Urban,Corporate,Offer 1-2,Direct,Normal Car
IA91291,Arizona,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Direct,Normal Car
RO89785,Oregon,Yes,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
QW40898,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
ZD40816,Nevada,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
PD82395,Arizona,No,Premium,Bachelor or College,Unemployed,Suburban,Special,Offer 1-2,Direct,Normal Car
NW23827,California,No,Basic,Bachelor or College,Unemployed,Rural,Personal,Offer 1-2,Direct,Normal Car
GG61186,Nevada,No,Premium,Doctor or Master,Unemployed,Rural,Personal,Offer 1-2,Direct,Normal Car
TB31268,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
SX98462,Oregon,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Direct,Normal Car
OL82456,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
DN14211,Oregon,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
ZG12619,Washington,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
VH31071,Arizona,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
SP36555,Arizona,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
ME83611,Nevada,Yes,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
PH85036,Washington,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Direct,Normal Car
PE54870,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Medium-Class Car
DT52189,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
XN48526,California,No,Basic,Bachelor or College,Other status,Urban,Personal,Offer 3-4,Direct,Normal Car
KW52227,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
JC98569,Oregon,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
BG48083,Nevada,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
PD19551,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
BJ13380,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
HY25004,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
WF50693,Oregon,No,Extended,High School or Below,Other status,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
MA45099,Oregon,No,Extended,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
ZC69696,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
VO43359,California,No,Basic,High School or Below,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
OM63954,California,No,Premium,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
GV71044,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
TM79451,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
PA84292,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
QX67584,Nevada,Yes,Basic,High School or Below,Employed,Urban,Personal,Offer 1-2,Direct,Medium-Class Car
JK90180,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
BH35482,Washington,No,Basic,Doctor or Master,Employed,Rural,Corporate,Offer 3-4,Indirect,Normal Car
VU84949,Washington,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
SF46129,California,No,Premium,High School or Below,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
OH35544,Nevada,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 3-4,Direct,Normal Car
ZF82387,Oregon,No,Extended,High School or Below,Employed,Urban,Corporate,Offer 1-2,Direct,Normal Car
MD40054,Oregon,Yes,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
LE96510,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
MC11907,California,No,Basic,High School or Below,Other status,Suburban,Corporate,Offer 1-2,Direct,Normal Car
DA57177,Oregon,Yes,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
SU77646,Oregon,No,Basic,Doctor or Master,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
YZ19736,Arizona,Yes,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
JZ69749,Washington,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
BJ22117,Washington,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
UQ60825,California,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Indirect,Medium-Class Car
ZZ89380,Oregon,No,Extended,Bachelor or College,Employed,Rural,Special,Offer 1-2,Indirect,Normal Car
LU87443,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
DG33206,Washington,No,Premium,Doctor or Master,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
AB98823,Arizona,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
MS34991,Arizona,No,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
EE53627,Oregon,No,Basic,High School or Below,Other status,Urban,Personal,Offer 3-4,Indirect,Normal Car
XY39691,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
ZU96776,California,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
FF84784,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
QT90140,Arizona,Yes,Basic,Doctor or Master,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
TO71844,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
HV69023,California,No,Basic,High School or Below,Other status,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
RE32481,California,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 3-4,Indirect,Luxury Car
CA79988,Oregon,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
DO48071,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
MW48891,Washington,Yes,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
JC37277,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
YU80673,California,No,Basic,Bachelor or College,Other status,Rural,Personal,Offer 3-4,Direct,Normal Car
BV69462,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
DW86238,Washington,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
BQ51616,Oregon,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Luxury Car
XX89213,Nevada,No,Extended,Doctor or Master,Employed,Rural,Corporate,Offer 1-2,Direct,Luxury Car
JC96695,California,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
RN55306,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
WH36609,Arizona,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
UO43395,Oregon,No,Basic,Doctor or Master,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
DS32060,California,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
LK51056,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Direct,Medium-Class Car
PX71218,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
NS19456,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
MR60878,Oregon,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Indirect,Normal Car
MB32944,Nevada,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
FE70473,Oregon,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
XB64251,Oregon,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
WI38796,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Indirect,Medium-Class Car
KS12294,California,No,Premium,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
US89453,California,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
XK39439,California,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
VJ71087,Arizona,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
FM54600,Washington,No,Premium,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
UV43859,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
JP28293,California,No,Extended,Doctor or Master,Employed,Rural,Corporate,Offer 1-2,Indirect,Normal Car
UV48189,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Indirect,Medium-Class Car
ZA34848,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
FA57012,California,No,Basic,Bachelor or College,Unemployed,Suburban,Special,Offer 3-4,Direct,Luxury Car
GU82757,California,Yes,Premium,Bachelor or College,Employed,Rural,Corporate,Offer 1-2,Direct,Normal Car
KW12214,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
EG97649,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
YB42706,Nevada,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 3-4,Direct,Normal Car
WV74449,Washington,No,Basic,Bachelor or College,Unemployed,Urban,Personal,Offer 3-4,Indirect,Medium-Class Car
AZ77669,Oregon,No,Basic,High School or Below,Employed,Urban,Personal,Offer 1-2,Indirect,Medium-Class Car
FM25704,Oregon,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Direct,Normal Car
UR34922,California,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
RA17555,Oregon,No,Basic,High School or Below,Employed,Urban,Corporate,Offer 3-4,Direct,Normal Car
AW71157,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Indirect,Normal Car
IN91592,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
WX37953,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
NL85206,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
PR23514,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Luxury Car
XZ23352,California,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 3-4,Indirect,Medium-Class Car
MX80067,California,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
HR10835,Nevada,No,Extended,High School or Below,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
FR15942,Washington,No,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
GX22886,Arizona,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
HQ70429,Washington,No,Basic,Bachelor or College,Unemployed,Rural,Personal,Offer 1-2,Direct,Normal Car
YT84266,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
GH48715,Arizona,No,Basic,High School or Below,Employed,Rural,Corporate,Offer 3-4,Direct,Normal Car
BN46866,Oregon,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
CG94611,Oregon,No,Extended,Bachelor or College,Other status,Suburban,Corporate,Offer 3-4,Direct,Normal Car
GK94889,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 3-4,Indirect,Normal Car
QN62538,Nevada,No,Basic,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Indirect,Normal Car
UQ13133,Nevada,No,Basic,Doctor or Master,Employed,Rural,Personal,Offer 3-4,Direct,Normal Car
DI65961,Arizona,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
WQ85760,California,No,Basic,Bachelor or College,Other status,Suburban,Corporate,Offer 3-4,Direct,Medium-Class Car
No35621,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
IA11644,California,No,Basic,High School or Below,Unemployed,Suburban,Special,Offer 3-4,Direct,Normal Car
TV53243,Arizona,No,Basic,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Direct,Normal Car
WV53081,Arizona,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Direct,Normal Car
LL57541,California,No,Extended,Doctor or Master,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
RP27249,Oregon,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 3-4,Direct,Medium-Class Car
OT85112,Washington,No,Extended,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
GV47847,California,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Direct,Normal Car
BB48165,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
HH80006,Oregon,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
TH70115,California,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
WE64781,Oregon,No,Extended,Bachelor or College,Employed,Urban,Corporate,Offer 3-4,Indirect,Medium-Class Car
KN27565,Oregon,No,Basic,Doctor or Master,Employed,Rural,Special,Offer 3-4,Direct,Luxury Car
LE85123,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
QF76244,Oregon,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
PU73561,Arizona,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
HM38744,Oregon,Yes,Basic,Bachelor or College,Other status,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
ST59524,Oregon,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
EZ77297,California,No,Extended,Doctor or Master,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
DR84843,Arizona,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
MV54498,California,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
EM85557,Washington,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Normal Car
FY73682,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Luxury Car
XT54610,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
CE16324,Nevada,No,Extended,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
KX75698,Oregon,No,Extended,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
UV82770,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Medium-Class Car
MX95450,Oregon,No,Extended,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
XF96605,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
WQ75856,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
JG35886,California,No,Premium,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
XY66810,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
ON50913,California,No,Basic,Bachelor or College,Unemployed,Suburban,Special,Offer 1-2,Direct,Normal Car
LS59408,Arizona,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
XQ14689,Nevada,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
QF55724,California,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
FD79560,Arizona,No,Basic,High School or Below,Employed,Suburban,Special,Offer 1-2,Direct,Normal Car
KM18818,Arizona,No,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
XA28126,California,No,Premium,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
LJ93770,Arizona,No,Basic,Doctor or Master,Employed,Urban,Personal,Offer 1-2,Direct,Medium-Class Car
MK52711,California,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
AZ68184,Washington,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 3-4,Direct,Medium-Class Car
NN52789,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
XC68458,California,No,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
AF49027,Arizona,No,Premium,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
PR22184,California,No,Basic,Bachelor or College,Employed,Suburban,Corporate,Offer 3-4,Direct,Medium-Class Car
GM98732,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
NP66209,California,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
GA46608,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 3-4,Direct,Normal Car
FZ79470,Arizona,No,Basic,Bachelor or College,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
KR10942,Oregon,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Direct,Normal Car
AW86033,California,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
LM79063,Arizona,No,Extended,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
NB30963,California,No,Extended,High School or Below,Employed,Rural,Personal,Offer 1-2,Direct,Normal Car
AO40386,Oregon,No,Extended,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Normal Car
BN74259,Arizona,No,Basic,High School or Below,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
XV69290,California,Yes,Extended,Bachelor or College,Employed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
RE97741,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
HN69035,Arizona,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Indirect,Normal Car
SI48717,Oregon,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Medium-Class Car
PJ67250,Arizona,No,Extended,Bachelor or College,Employed,Suburban,Special,Offer 1-2,Direct,Medium-Class Car
SH85263,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
WV37081,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
No61408,California,No,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
DE91458,Washington,No,Extended,Doctor or Master,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
EP83939,Arizona,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
IU17657,California,No,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Indirect,Normal Car
EO95166,Oregon,No,Premium,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Direct,Normal Car
KX79225,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
EZ60033,California,No,Extended,Bachelor or College,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Normal Car
KK58047,Oregon,No,Basic,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
JW62354,Nevada,Yes,Basic,Bachelor or College,Employed,Rural,Personal,Offer 1-2,Direct,Medium-Class Car
TT18939,California,No,Basic,Bachelor or College,Other status,Rural,Personal,Offer 3-4,Direct,Normal Car
IJ21010,Arizona,Yes,Extended,Bachelor or College,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
PZ31902,Arizona,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Indirect,Normal Car
WD88540,California,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 3-4,Indirect,Normal Car
IL67915,Arizona,No,Premium,Bachelor or College,Employed,Urban,Corporate,Offer 1-2,Direct,Normal Car
VQ76590,Arizona,Yes,Basic,Bachelor or College,Other status,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
FJ60600,Oregon,No,Extended,High School or Below,Unemployed,Suburban,Personal,Offer 1-2,Direct,Normal Car
MP53132,Oregon,No,Extended,High School or Below,Unemployed,Suburban,Corporate,Offer 1-2,Direct,Medium-Class Car
XP96549,Oregon,No,Basic,High School or Below,Employed,Suburban,Personal,Offer 1-2,Direct,Medium-Class Car
VC34797,California,No,Basic,Bachelor or College,Employed,Rural,Corporate,Offer 3-4,Direct,Normal Car
QV30663,Nevada,No,Extended,Doctor or Master,Employed,Rural,Personal,Offer 3-4,Indirect,Medium-Class Car
AK90865,Oregon,No,Basic,High School or Below,Unemployed,Suburban,Special,Offer 1-2,Direct,Medium-Class Car
BX51438,Arizona,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 3-4,Indirect,Normal Car
DU38713,Arizona,No,Basic,High School or Below,Employed,Rural,Personal,Offer 1-2,Indirect,Normal Car
WQ13284,California,No,Basic,Bachelor or College,Employed,Urban,Personal,Offer 1-2,Indirect,Normal Car
JB36584,Arizona,No,Basic,Doctor or Master,Employed,Suburban,Personal,Offer 1-2,Indirect,Normal Car
